105/06/01,30000,5100,0.17,0.17,0.17,0.17,0.00,1
105/06/02,170000,27600,0.18,0.18,0.16,0.16,-0.01,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,88000,13200,0.15,0.15,0.15,0.15,+0.01,3
105/06/06,112000,15780,0.14,0.15,0.14,0.15,0.00,3
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,560000,44800,0.08,0.08,0.08,0.08,-0.05,3
105/06/14,0,0,---,---,---,---,---,0
105/06/15,45000,6700,0.16,0.16,0.14,0.15,+0.01,3
105/06/16,295000,35400,0.12,0.12,0.12,0.12,-0.03,3
105/06/17,0,0,---,---,---,---,---,0
105/06/20,309000,40170,0.13,0.13,0.13,0.13,+0.01,4
