105/06/01,0,0,---,---,---,---,---,0
105/06/02,5000,8400,1.68,1.68,1.68,1.68,+0.06,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,7000,10840,1.47,1.58,1.47,1.58,-0.02,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,100000,156000,1.56,1.56,1.56,1.56,0.00,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,10000,14200,1.42,1.42,1.42,1.42,-0.14,1
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,12000,14400,1.20,1.20,1.20,1.20,-0.19,2
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,10000,11800,1.18,1.18,1.18,1.18,+0.01,1
105/07/07,10000,11800,1.18,1.18,1.18,1.18,0.00,1
105/07/11,10000,14700,1.47,1.47,1.47,1.47,+0.29,2
105/07/12,30000,49200,1.64,1.64,1.64,1.64,+0.17,3
105/07/13,0,0,---,---,---,---,---,0
105/07/14,20000,32400,1.62,1.62,1.62,1.62,+0.04,2
105/07/15,5000,8100,1.62,1.62,1.62,1.62,0.00,1
105/07/18,0,0,---,---,---,---,---,0
