105/06/01,0,0,---,---,---,---,---,0
105/06/02,14253,244451,17.40,17.60,17.00,17.60,-0.20,10
105/06/03,15051,258727,17.00,17.60,16.80,17.50,-0.10,15
105/06/04,3000,52600,17.65,17.65,17.45,17.50,0.00,3
105/06/06,6000,103100,17.55,17.55,16.80,17.30,-0.20,6
105/06/07,3000,51550,17.15,17.20,17.15,17.20,-0.10,3
105/06/08,6024,103605,17.20,17.20,17.20,17.20,0.00,5
105/06/13,6000,101550,17.15,17.15,16.70,16.70,-0.50,4
105/06/14,8024,136050,16.90,17.05,16.90,17.05,+0.35,6
105/06/15,7000,116700,16.60,16.85,16.60,16.85,-0.20,5
105/06/16,25000,408900,16.60,16.65,16.20,16.45,-0.40,18
105/06/17,19000,308800,16.10,16.50,16.10,16.40,-0.05,13
105/06/20,176037,3158397,18.00,18.00,17.25,17.90,+1.50,65
105/06/21,101506,1701248,16.50,17.30,16.50,16.75,-1.15,73
105/06/22,42824,694300,16.55,16.60,15.95,16.25,-0.50,38
105/06/23,12000,195750,16.65,16.65,16.25,16.40,+0.15,8
105/06/24,61012,946287,16.80,16.80,15.00,15.95,-0.45,39
105/06/27,12000,189750,15.90,15.90,15.50,15.90,-0.05,11
105/06/28,35240,539398,15.65,15.65,15.20,15.55,-0.35,15
105/06/29,12002,184429,15.60,15.60,15.15,15.20,-0.35,12
105/06/30,18588,282420,15.10,15.30,15.00,15.30,+0.10,19
105/07/01,9100,140435,15.70,15.70,15.20,15.20,-0.10,7
105/07/04,16580,252184,15.85,15.85,15.10,15.10,-0.10,11
