105/06/01,4000,7250,1.78,1.86,1.78,1.86,+0.24,4
105/06/02,0,0,---,---,---,---,---,0
105/06/03,10000,17600,1.76,1.76,1.76,1.76,-0.01,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,10000,17300,1.73,1.73,1.73,1.73,+0.05,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,4000,6940,1.70,1.77,1.70,1.77,+0.15,4
105/06/16,31000,49740,1.64,1.64,1.57,1.57,-0.20,4
105/06/17,0,0,---,---,---,---,---,0
105/06/20,7000,11800,1.70,1.70,1.67,1.68,+0.12,5
