105/06/01,20000,13600,0.68,0.68,0.68,0.68,-0.02,1
105/06/02,0,0,---,---,---,---,---,0
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,100000,59000,0.59,0.59,0.59,0.59,0.00,1
105/06/07,200000,119000,0.60,0.60,0.59,0.59,0.00,2
105/06/08,170000,114300,0.67,0.69,0.67,0.69,+0.10,3
105/06/13,0,0,---,---,---,---,---,0
105/06/14,210000,136250,0.65,0.65,0.64,0.64,+0.01,8
105/06/15,385000,231700,0.62,0.62,0.58,0.59,-0.05,4
105/06/16,200000,129000,0.66,0.66,0.63,0.63,+0.04,4
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
