105/06/01,228000,96200,0.40,0.43,0.40,0.43,+0.06,3
105/06/02,328000,151890,0.48,0.48,0.44,0.48,+0.05,15
105/06/03,100000,46000,0.46,0.46,0.46,0.46,-0.02,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,100000,40000,0.40,0.40,0.40,0.40,+0.04,1
105/06/08,100000,38000,0.38,0.38,0.38,0.38,-0.02,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,45000,13950,0.31,0.31,0.31,0.31,-0.02,1
105/06/15,99000,31580,0.31,0.32,0.31,0.32,+0.01,2
105/06/16,99000,35640,0.36,0.36,0.36,0.36,+0.04,1
105/06/17,0,0,---,---,---,---,---,0
