105/06/01,10000,13700,1.37,1.37,1.37,1.37,-0.02,1
105/06/02,10000,14500,1.45,1.45,1.45,1.45,+0.08,1
105/06/03,10000,14400,1.44,1.44,1.44,1.44,-0.01,1
105/06/04,10000,15000,1.50,1.50,1.50,1.50,+0.06,1
105/06/06,30000,46200,1.50,1.56,1.50,1.56,+0.06,2
105/06/07,0,0,---,---,---,---,---,0
105/06/08,20000,29800,1.49,1.49,1.49,1.49,-0.02,1
105/06/13,24000,37560,1.51,1.61,1.51,1.61,+0.12,3
105/06/14,10000,15800,1.58,1.58,1.58,1.58,-0.03,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,9000,14570,1.64,1.65,1.59,1.59,+0.01,3
