105/06/01,1710000,659680,0.41,0.42,0.37,0.38,-0.01,12
105/06/02,850000,297800,0.38,0.38,0.32,0.32,-0.06,7
105/06/03,958000,315560,0.32,0.34,0.31,0.32,0.00,6
105/06/04,605000,173280,0.29,0.29,0.26,0.26,-0.06,3
105/06/06,15000,3700,0.25,0.25,0.24,0.24,-0.02,2
105/06/07,0,0,---,---,---,---,---,0
105/06/08,11000,2970,0.27,0.27,0.27,0.27,0.00,1
105/06/13,25000,4450,0.19,0.19,0.17,0.17,-0.10,2
105/06/14,0,0,---,---,---,---,---,0
105/06/15,5000,850,0.17,0.17,0.17,0.17,0.00,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,5000,650,0.13,0.13,0.13,0.13,-0.02,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,1000,60,0.06,0.06,0.06,0.06,0.00,1
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
