105/06/01,10000,10000,1.00,1.00,1.00,1.00,0.00,1
105/06/02,20000,20800,1.04,1.04,1.04,1.04,+0.04,1
105/06/03,27000,28180,1.04,1.05,1.04,1.05,+0.01,4
105/06/04,24000,22720,0.98,0.98,0.91,0.97,-0.08,3
105/06/06,30000,27300,0.91,0.91,0.91,0.91,-0.06,2
105/06/07,0,0,---,---,---,---,---,0
105/06/08,20000,18200,0.91,0.91,0.91,0.91,-0.01,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
