105/06/01,10000,5100,0.51,0.51,0.51,0.51,+0.05,1
105/06/02,10000,4800,0.48,0.48,0.48,0.48,-0.03,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,23000,7360,0.32,0.32,0.32,0.32,+0.04,4
105/06/16,33000,12340,0.36,0.38,0.36,0.38,+0.06,3
105/06/17,10000,4000,0.40,0.40,0.40,0.40,+0.02,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,10000,3700,0.37,0.37,0.37,0.37,-0.01,1
105/06/23,10000,3700,0.37,0.37,0.37,0.37,0.00,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,11000,3420,0.31,0.32,0.31,0.32,+0.03,2
105/06/29,0,0,---,---,---,---,---,0
105/06/30,10000,3700,0.37,0.37,0.37,0.37,+0.01,1
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,1000,290,0.29,0.29,0.29,0.29,+0.01,1
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,10000,3400,0.34,0.34,0.34,0.34,0.00,1
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,20000,6300,0.32,0.32,0.31,0.31,-0.02,2
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
