105/06/01,455000,105090,0.21,0.26,0.21,0.24,+0.04,32
105/06/02,160000,31430,0.21,0.22,0.18,0.18,-0.06,14
105/06/03,170000,31300,0.19,0.19,0.17,0.17,-0.01,13
105/06/04,20000,3600,0.18,0.18,0.18,0.18,+0.01,2
105/06/06,20000,3800,0.19,0.19,0.19,0.19,+0.01,2
105/06/07,0,0,---,---,---,---,---,0
105/06/08,10000,2000,0.20,0.20,0.20,0.20,+0.01,1
105/06/13,84000,17210,0.19,0.25,0.18,0.19,-0.01,9
105/06/14,0,0,---,---,---,---,---,0
105/06/15,49000,9220,0.20,0.20,0.18,0.19,+0.01,5
105/06/16,70000,13100,0.19,0.19,0.17,0.17,-0.02,7
105/06/17,153000,42820,0.22,0.30,0.22,0.30,+0.13,14
105/06/20,243000,80280,0.33,0.37,0.28,0.29,-0.01,20
105/06/21,62000,16740,0.27,0.27,0.27,0.27,-0.02,2
105/06/22,12000,3680,0.32,0.32,0.28,0.28,+0.01,2
105/06/23,100000,22000,0.22,0.22,0.22,0.22,-0.06,1
105/06/24,273000,40950,0.15,0.15,0.15,0.15,-0.07,3
105/06/27,0,0,---,---,---,---,---,0
105/06/28,2000,320,0.16,0.16,0.16,0.16,+0.01,1
105/06/29,15000,2590,0.17,0.21,0.16,0.20,+0.04,4
105/06/30,1000,200,0.20,0.20,0.20,0.20,0.00,1
105/07/01,20000,4100,0.21,0.21,0.20,0.20,0.00,2
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,20000,1800,0.09,0.09,0.09,0.09,-0.06,2
105/07/07,2000,240,0.12,0.12,0.12,0.12,+0.03,1
105/07/11,1000,120,0.12,0.12,0.12,0.12,0.00,1
105/07/12,57000,7240,0.13,0.18,0.11,0.18,+0.06,5
105/07/13,11000,1490,0.14,0.14,0.13,0.13,-0.05,3
