105/06/01,105000,131900,1.26,1.26,1.25,1.26,-0.09,6
105/06/02,65000,77050,1.21,1.21,1.15,1.15,-0.11,6
105/06/03,110000,117120,1.14,1.14,1.04,1.04,-0.11,8
105/06/04,0,0,---,---,---,---,---,0
105/06/06,12000,12440,1.02,1.04,1.02,1.04,-0.05,2
105/06/07,15000,15900,1.06,1.06,1.06,1.06,+0.02,1
105/06/08,5000,5200,1.04,1.04,1.04,1.04,-0.02,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,91000,88600,0.98,0.99,0.96,0.98,-0.02,7
105/06/15,91000,90400,1.00,1.00,0.98,0.99,+0.01,4
105/06/16,81000,72820,0.97,0.97,0.88,0.88,-0.11,3
105/06/17,6000,5580,0.93,0.93,0.93,0.93,+0.05,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,41000,40040,0.99,0.99,0.97,0.97,-0.04,4
105/06/23,61000,54570,0.92,0.92,0.88,0.88,-0.09,4
105/06/24,8000,6160,0.77,0.77,0.77,0.77,-0.11,1
105/06/27,12000,9360,0.78,0.78,0.78,0.78,+0.01,1
105/06/28,0,0,---,---,---,---,---,0
105/06/29,20000,17900,0.89,0.90,0.89,0.90,+0.15,2
105/06/30,20000,17600,0.88,0.88,0.88,0.88,-0.02,1
105/07/01,0,0,---,---,---,---,---,0
105/07/04,170000,113000,0.70,0.70,0.66,0.66,-0.12,4
105/07/05,0,0,---,---,---,---,---,0
105/07/06,356000,234360,0.63,0.66,0.63,0.66,+0.02,5
105/07/07,611000,387180,0.64,0.64,0.63,0.63,-0.03,5
105/07/11,324000,204860,0.62,0.64,0.62,0.64,+0.01,2
105/07/12,199000,133330,0.67,0.67,0.67,0.67,+0.03,1
105/07/13,238000,168970,0.68,0.72,0.68,0.72,+0.05,4
105/07/14,221000,145440,0.68,0.68,0.64,0.64,-0.08,4
