105/06/01,994000,273400,0.26,0.29,0.26,0.27,+0.03,18
105/06/02,345000,76550,0.25,0.25,0.21,0.21,-0.06,8
105/06/03,516000,99780,0.21,0.21,0.18,0.19,-0.02,10
105/06/04,50000,9500,0.19,0.19,0.19,0.19,0.00,1
105/06/06,161000,27370,0.17,0.17,0.17,0.17,-0.02,3
105/06/07,305000,54950,0.19,0.19,0.18,0.18,+0.01,6
105/06/08,925000,179450,0.20,0.21,0.19,0.19,+0.01,13
105/06/13,80000,10600,0.13,0.14,0.13,0.14,-0.05,6
105/06/14,101000,14170,0.14,0.17,0.14,0.17,+0.03,2
105/06/15,25000,4600,0.19,0.19,0.18,0.18,+0.01,4
105/06/16,30000,3900,0.13,0.13,0.13,0.13,-0.05,2
105/06/17,21000,2630,0.13,0.13,0.12,0.13,0.00,4
