105/06/01,104000,103440,0.95,1.03,0.95,1.03,+0.07,4
105/06/02,138000,142050,1.03,1.03,0.94,0.94,-0.09,7
105/06/03,34000,32640,0.96,0.96,0.96,0.96,+0.02,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,47000,40280,0.84,0.86,0.84,0.86,-0.01,2
105/06/08,47000,39480,0.84,0.84,0.84,0.84,-0.02,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,86000,68800,0.80,0.80,0.80,0.80,+0.03,2
105/06/16,86000,66220,0.77,0.77,0.77,0.77,-0.03,2
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
