105/06/01,10000,11700,1.17,1.17,1.17,1.17,X,1
105/06/02,20000,25000,1.25,1.25,1.25,1.25,0.08,2
105/06/03,10000,14550,1.45,1.46,1.45,1.46,0.21,2
105/06/04,5000,6800,1.36,1.36,1.36,1.36,-0.10,1
105/06/06,10000,12900,1.29,1.29,1.29,1.29,-0.07,1
105/06/07,0,0,--,--,--,--,,0
105/06/08,0,0,--,--,--,--,,0
105/06/13,0,0,--,--,--,--,,0
105/06/14,0,0,--,--,--,--,,0
105/06/15,0,0,--,--,--,--,,0
105/06/16,0,0,--,--,--,--,,0
105/06/17,0,0,--,--,--,--,,0
105/06/20,0,0,--,--,--,--,,0
105/06/21,0,0,--,--,--,--,,0
105/06/22,0,0,--,--,--,--,,0
105/06/23,0,0,--,--,--,--,,0
105/06/24,0,0,--,--,--,--,,0
105/06/27,0,0,--,--,--,--,,0
105/06/28,0,0,--,--,--,--,,0
105/06/29,0,0,--,--,--,--,,0
105/06/30,0,0,--,--,--,--,,0
105/07/01,0,0,--,--,--,--,,0
105/07/04,0,0,--,--,--,--,,0
105/07/05,0,0,--,--,--,--,,0
105/07/06,0,0,--,--,--,--,,0
105/07/07,0,0,--,--,--,--,,0
105/07/11,0,0,--,--,--,--,,0
105/07/12,0,0,--,--,--,--,,0
105/07/13,0,0,--,--,--,--,,0
105/07/14,0,0,--,--,--,--,,0
105/07/15,55000,52110,0.96,0.96,0.94,0.94,X,7
105/07/18,104000,80820,0.88,0.88,0.73,0.76,-0.18,11
105/07/19,108000,84210,0.76,0.79,0.76,0.76,,9
105/07/20,97000,72690,0.77,0.79,0.71,0.75,-0.01,8
105/07/21,20000,14960,0.76,0.76,0.74,0.75,,3
105/07/22,20000,16400,0.81,0.83,0.81,0.83,0.08,2
