105/06/01,497000,750930,1.48,1.56,1.48,1.54,0.07,18
105/06/02,147000,224860,1.54,1.57,1.49,1.52,-0.02,16
105/06/03,148000,227400,1.52,1.55,1.52,1.52,,12
105/06/04,365000,563350,1.55,1.55,1.54,1.54,0.02,3
105/06/06,291000,448060,1.60,1.60,1.47,1.54,,9
105/06/07,170000,271440,1.57,1.63,1.57,1.63,0.09,11
105/06/08,342000,571290,1.67,1.69,1.65,1.66,0.03,18
105/06/13,117000,177380,1.56,1.56,1.47,1.47,-0.19,20
105/06/14,6000,9060,1.51,1.51,1.51,1.51,0.04,1
105/06/15,215000,331720,1.54,1.56,1.47,1.55,0.04,12
105/06/16,1203000,1739220,1.50,1.50,1.39,1.42,-0.13,34
105/06/17,768000,1176940,1.51,1.57,1.51,1.56,0.14,19
105/06/20,589000,937990,1.60,1.61,1.58,1.58,0.02,9
105/06/21,651000,1065200,1.59,1.65,1.59,1.65,0.07,9
105/06/22,101000,163820,1.62,1.65,1.61,1.64,-0.01,11
105/06/23,203000,327960,1.65,1.65,1.61,1.61,-0.03,7
105/06/24,1306000,1952520,1.52,1.62,1.33,1.36,-0.25,48
105/06/27,802000,1110930,1.38,1.45,1.38,1.45,0.09,26
105/06/28,649000,958580,1.40,1.50,1.39,1.50,0.05,17
105/06/29,656000,1025570,1.54,1.61,1.54,1.57,0.07,15
105/06/30,230000,371560,1.59,1.66,1.57,1.63,0.06,16
105/07/01,137000,238530,1.70,1.76,1.70,1.72,0.09,11
105/07/04,151000,265800,1.76,1.78,1.74,1.74,0.02,6
105/07/05,179000,307200,1.71,1.72,1.68,1.72,-0.02,12
105/07/06,323000,509190,1.63,1.63,1.56,1.57,-0.15,26
105/07/07,333000,552600,1.61,1.67,1.61,1.66,0.09,24
105/07/11,404000,735900,1.82,1.84,1.80,1.82,0.16,18
105/07/12,368000,688340,1.90,1.90,1.85,1.87,0.05,19
105/07/13,394000,739680,1.90,1.90,1.84,1.89,0.02,16
105/07/14,194000,368400,1.89,1.91,1.89,1.91,0.02,7
105/07/15,317000,631940,1.92,2.01,1.92,1.99,0.08,14
105/07/18,401000,829740,2.02,2.08,2.02,2.07,0.08,15
105/07/19,399000,827990,2.07,2.13,2.07,2.13,0.06,7
105/07/20,231000,483480,2.10,2.12,2.08,2.10,-0.03,8
105/07/21,145000,316700,2.17,2.22,2.17,2.19,0.09,8
