105/06/01,216000,183600,0.85,0.85,0.85,0.85,+0.20,2
105/06/02,87000,56550,0.65,0.65,0.65,0.65,-0.20,1
105/06/03,87000,60030,0.69,0.69,0.69,0.69,+0.04,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,248000,177600,0.68,0.78,0.68,0.78,+0.11,4
105/06/07,246000,181940,0.74,0.74,0.73,0.73,-0.05,2
105/06/08,4000,2960,0.74,0.74,0.74,0.74,+0.01,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,67000,48240,0.72,0.72,0.72,0.72,+0.02,1
105/06/15,67000,47570,0.71,0.71,0.71,0.71,-0.01,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,10000,6800,0.68,0.68,0.68,0.68,+0.02,1
105/06/20,10000,6100,0.61,0.61,0.61,0.61,-0.07,1
105/06/21,405000,255200,0.64,0.64,0.60,0.60,-0.01,5
105/06/22,405000,237700,0.60,0.60,0.58,0.58,-0.02,2
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,149000,70030,0.47,0.47,0.47,0.47,-0.02,1
105/06/28,149000,70030,0.47,0.47,0.47,0.47,0.00,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
