105/06/01,63000,57610,0.88,0.95,0.88,0.95,0.05,3
105/06/02,63000,56070,0.89,0.89,0.89,0.89,-0.06,1
105/06/03,100000,90000,0.90,0.90,0.90,0.90,0.01,1
105/06/04,100000,78000,0.78,0.78,0.78,0.78,-0.12,1
105/06/06,0,0,--,--,--,--,,0
105/06/07,186000,166700,0.86,0.93,0.86,0.93,X,3
105/06/08,186000,170060,0.92,0.94,0.90,0.90,-0.03,3
105/06/13,0,0,--,--,--,--,,0
105/06/14,31000,23250,0.75,0.75,0.75,0.75,X,1
105/06/15,167000,119810,0.75,0.75,0.71,0.71,-0.04,3
105/06/16,199000,137970,0.70,0.71,0.65,0.67,-0.04,7
105/06/17,118000,83500,0.73,0.73,0.70,0.70,0.03,3
105/06/20,35000,26250,0.75,0.75,0.75,0.75,0.05,1
105/06/21,187000,159340,0.81,0.96,0.81,0.96,0.21,5
105/06/22,342000,385610,1.14,1.14,1.03,1.14,0.18,7
105/06/23,329000,329050,1.05,1.05,0.96,0.98,-0.16,6
105/06/24,0,0,--,--,--,--,,0
105/06/27,159000,165360,1.04,1.04,1.04,1.04,X,3
105/06/28,512000,604160,1.20,1.27,1.08,1.17,0.13,20
105/06/29,491000,658600,1.44,1.44,1.31,1.33,0.16,18
105/06/30,307000,355860,1.19,1.19,1.14,1.18,-0.15,11
105/07/01,289000,334090,1.19,1.21,1.06,1.06,-0.12,9
105/07/04,121000,128330,1.06,1.13,0.99,0.99,-0.07,3
