105/06/01,299000,26910,0.09,0.09,0.09,0.09,-0.01,3
105/06/02,0,0,---,---,---,---,---,0
105/06/03,598000,71760,0.12,0.12,0.12,0.12,+0.02,2
105/06/04,0,0,---,---,---,---,---,0
105/06/06,299000,29900,0.10,0.10,0.10,0.10,-0.01,1
105/06/07,299000,23920,0.08,0.08,0.08,0.08,-0.02,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,299000,20930,0.07,0.07,0.07,0.07,-0.01,2
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,1794000,71760,0.04,0.04,0.04,0.04,-0.03,6
105/06/21,0,0,---,---,---,---,---,0
