105/06/01,0,0,---,---,---,---,---,0
105/06/02,0,0,---,---,---,---,---,0
105/06/03,75000,42300,0.58,0.58,0.56,0.56,+0.03,4
105/06/04,10000,5500,0.55,0.55,0.55,0.55,-0.01,1
105/06/06,45000,23350,0.52,0.52,0.51,0.51,-0.04,2
105/06/07,130000,71500,0.55,0.55,0.55,0.55,+0.04,2
105/06/08,153000,94430,0.62,0.63,0.59,0.61,+0.06,12
105/06/13,549000,357330,0.63,0.67,0.63,0.63,+0.02,17
105/06/14,478000,298140,0.65,0.65,0.61,0.62,-0.01,14
105/06/15,582000,387330,0.63,0.69,0.63,0.63,+0.01,14
105/06/16,492000,293750,0.61,0.61,0.57,0.57,-0.06,17
105/06/17,108000,65440,0.59,0.62,0.59,0.61,+0.04,10
